"";"cod_mun";"PIB_PC";"PIB_total";"atvidade_economica"
"252";1506138;20614,79;1699977,816;"Demais serviços"
"253";1506161;26908,76;476419,628;"Demais serviços"
"254";1506187;10220,71;520489,791;"Administração, defesa, educação e saúde públicas e seguridade social"
"255";1506195;7315,67;359148,206;"Administração, defesa, educação e saúde públicas e seguridade social"
"256";1506203;10739,97;424969,912;"Administração, defesa, educação e saúde públicas e seguridade social"
"257";1506302;7176,74;165753,939;"Administração, defesa, educação e saúde públicas e seguridade social"
"258";1506351;8091,06;165802,036;"Administração, defesa, educação e saúde públicas e seguridade social"
"259";1506401;6925,02;68176,821;"Administração, defesa, educação e saúde públicas e seguridade social"
"260";1506500;10441,16;718727,371;"Administração, defesa, educação e saúde públicas e seguridade social"
"261";1506559;8496,41;164116,624;"Administração, defesa, educação e saúde públicas e seguridade social"
"262";1506583;18020,91;375718,025;"Pecuária, inclusive apoio à pecuária"
"263";1506609;12840,2;310553,145;"Agricultura, inclusive apoio à agricultura e a pós colheita"
"264";1506708;11349,19;803113,918;"Administração, defesa, educação e saúde públicas e seguridade social"
"265";1506807;16318,44;4835187,733;"Demais serviços"
"266";1506906;6316,13;41219,033;"Administração, defesa, educação e saúde públicas e seguridade social"
"267";1507003;11237,09;343978,543;"Administração, defesa, educação e saúde públicas e seguridade social"
"268";1507102;7471,7;131225,397;"Administração, defesa, educação e saúde públicas e seguridade social"
"269";1507151;10958,62;272420,412;"Administração, defesa, educação e saúde públicas e seguridade social"
"270";1507201;9935,4;309219,376;"Administração, defesa, educação e saúde públicas e seguridade social"
"271";1507300;11157,74;1392552,831;"Pecuária, inclusive apoio à pecuária"
"272";1507409;13209,06;204132,739;"Agricultura, inclusive apoio à agricultura e a pós colheita"
"273";1507458;18250,01;441431,187;"Administração, defesa, educação e saúde públicas e seguridade social"
"274";1507466;7069,8;42206,68;"Administração, defesa, educação e saúde públicas e seguridade social"
"275";1507474;7091,96;158966,281;"Administração, defesa, educação e saúde públicas e seguridade social"
"276";1507508;8591,63;116983,598;"Administração, defesa, educação e saúde públicas e seguridade social"
"277";1507607;11646,31;668078,657;"Agricultura, inclusive apoio à agricultura e a pós colheita"
"278";1507706;7986,76;206889,112;"Administração, defesa, educação e saúde públicas e seguridade social"
"279";1507755;18728,74;107989,94;"Pecuária, inclusive apoio à pecuária"
"280";1507805;11179,54;126966,088;"Administração, defesa, educação e saúde públicas e seguridade social"
"281";1507904;7090,59;175009,931;"Administração, defesa, educação e saúde públicas e seguridade social"
"282";1507953;8192,92;846500,964;"Administração, defesa, educação e saúde públicas e seguridade social"
"283";1507961;6300,07;71814,537;"Administração, defesa, educação e saúde públicas e seguridade social"
"284";1507979;28878,63;527237,068;"Indústrias extrativas"
"285";1508001;10360,83;639356,358;"Administração, defesa, educação e saúde públicas e seguridade social"
"286";1508035;8247,91;248327,96;"Administração, defesa, educação e saúde públicas e seguridade social"
"287";1508050;17837,45;329439,842;"Agricultura, inclusive apoio à agricultura e a pós colheita"
"288";1508084;19655,44;756891,584;"Demais serviços"
"289";1508100;58455,08;6460221,122;"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação"
"290";1508126;21649,34;1245378,453;"Agricultura, inclusive apoio à agricultura e a pós colheita"
"291";1508159;11567,7;511963,096;"Administração, defesa, educação e saúde públicas e seguridade social"
"292";1508209;7148,87;373285,562;"Administração, defesa, educação e saúde públicas e seguridade social"
"293";1508308;10269,37;613440,895;"Agricultura, inclusive apoio à agricultura e a pós colheita"
"294";1508357;209799,94;3088045,376;"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação"
